"collection title","accession id","accession date"
"Elshtain, Jean Bethke. Papers","sjsrfmvmsdnzf","2015-09-28T16:30:59.673444"
"Elshtain, Jean Bethke. Papers","jtkmv2q2dkp8c","2015-09-28T16:37:13.147433"
"Elshtain, Jean Bethke. Papers","mhc38qfh05brf","2015-09-30T14:36:11.738828"
"Field, Eugene. Correspondence. Digital Collection","xfrp418w2pj5w","2011-12-23T09:06:58"
"Film Collection, DVD","8h0cnr1jv8hxp","2014-08-08T16:25:04.603885"
"Film Collection. Digital Collection","mskjwk1868kp1","2012-10-01T13:39:48"
"Film Collection. Digital Collection","7zpvvcktcj2ms","2012-10-01T13:41:13"
"Film Collection. Digital Collection","rtf2qpbbqczgp","2012-10-02T11:17:31"
"Fitzpatrick, Sheila. Papers","6gdgxw0zz5gpp","2012-09-07T13:02:06"
"Fitzpatrick, Sheila. Papers","pwd8bzhz6bsfq","2015-09-15T13:40:20.326817"
"Flood Editions. Records","vwg17gt5019z5","2015-01-27T16:01:22.462975"
"Flood Editions. Records","4xt9x9h14msm7","2015-10-01T10:40:48.198853"
"Fogel, Robert W. Papers","s52cfh209tr6b","2015-02-03T14:47:57.676400"
"Fogel, Robert W. Papers","fs8rmh11rp3j2","2015-09-29T14:03:14.088547"
"Fogel, Robert W. Papers","w4z7whtcszhsg","2015-09-29T14:42:54.963506"
"Friedman, Milton. Papers","w396jw5s7tmm5","2010-12-02T17:08:43"
"Friedmann, Herbert. Papers","dcsck2f6jkb22","2014-06-06T16:35:26.934349"
"Friedrich, Paul. Digital Collection","d2q09b31sn4x8","2012-09-11T14:26:17"
"Geertz, Clifford. Digital Collection","xgckxcf22qpxs","2012-09-12T16:02:04"
"Geertz, Clifford. Digital Collection","kr0nq6s3p3jp5","2012-09-27T10:28:54"
"Geertz, Clifford. Digital Collection","pz2fgrg66bkmf","2015-09-18T13:22:37.319571"
"Ghez, Susanne. Papers","9b62jgpczx5c6","2014-12-22T16:52:32.901324"
"Glatzer, Nahum. Collection of Leo Strauss","acf7j778605","2011-02-17T16:42:31"
"Goodspeed Manuscript Collection. Digital Collection.","fpnrxkp1wj69p","2014-07-17T13:31:41.802522"
"Goodspeed Manuscript Collection. Digital Collection.","w9rdpbt1g8kgf","2014-12-19T15:27:52.453894"
"Goodspeed Manuscript Collection. Digital Collection.","hp4j7g3ph0hc5","2015-07-28T10:49:55.493251"
"Goodspeed Manuscript Collection. Digital Collection.","q5hsfz58g46cw","2015-09-23T09:02:20.422008"
"Goodspeed Manuscript Collection. Digital Collection.","q4d6hmn2g84dg","2015-12-15T09:32:11.567040"
"Gottschalk, Louis. Digital Collection","jb69b13thvqb7","2012-11-05T17:07:47.900691"
"Hansen, Miriam. Papers","p2b2j6mh17930","2015-02-06T16:37:13.823024"
"Hansen, Miriam. Papers","3pr9jbpb9b3v2","2015-10-01T11:14:13.604395"
"Harris, Chauncy D. Papers","ac44h6c0t90","2010-12-03T11:26:13"
"Hart, Schaffner and Marx Labor Agreement. Digital Collection","f9m56f10m86k8","2012-11-27T10:23:09.079054"
"Heaton, David F.  Papers. Digital Collection","hqr0gz435p0mm","2011-12-21T09:01:19"
"Higinbotham, William A. Papers","2pvg9t0tcqvz8","2015-01-28T10:27:48.225379"
"Hine, Daryl. Papers","xsss6d811380j","2012-11-21T12:45:16.234619"
"Hughes, Everett C. Digital Collection ","34bp1dkm6b8dp","2012-11-12T14:52:09.677406"
"Hughes, Everett C. Digital Collection ","cqq42692hpffh","2014-12-08T10:26:48.171015"
"Hutchins, Robert M. Digital Collection ","rmh1nxtf0x16b","2012-12-20T15:41:38.800960"
